state,year,death
ND,2013,331
NE,1999,945
NE,2000,838
NE,2001,882
NE,2002,934
NE,2003,894
NE,2004,815
NE,2005,949
NE,2006,878
NE,2007,919
NE,2008,1047
NE,2009,987
NE,2010,1008
NE,2011,1068
NE,2012,1052
NE,2013,1032
NH,1999,592
NH,2000,581
NH,2001,616
NH,2002,577
NH,2003,531
NH,2004,600
NH,2005,630
NH,2006,603
NH,2007,611
NH,2008,688
NH,2009,652
NH,2010,609
NH,2011,650
NH,2012,674
NH,2013,668
NJ,1999,3130
NJ,2000,3007
NJ,2001,2911
NJ,2002,2885
NJ,2003,2910
NJ,2004,3031
NJ,2005,3148
NJ,2006,2862
NJ,2007,2991
NJ,2008,3280
NJ,2009,3125
NJ,2010,3106
NJ,2011,3157
NJ,2012,3271
NJ,2013,3245
NM,1999,848
NM,2000,767
NM,2001,775
NM,2002,857
NM,2003,936
NM,2004,753
NM,2005,855
NM,2006,888
NM,2007,884
NM,2008,1001
NM,2009,984
NM,2010,1022
NM,2011,1024
NM,2012,965
NM,2013,1052
NV,1999,1029
NV,2000,989
NV,2001,1136
NV,2002,1174
NV,2003,1173
NV,2004,1124
NV,2005,1227
NV,2006,1066
NV,2007,1050
NV,2008,1257
NV,2009,1244
NV,2010,1186
NV,2011,1243
NV,2012,1370
NV,2013,1482
NY,1999,7086
NY,2000,6784
NY,2001,6906
NY,2002,6966
NY,2003,6709
NY,2004,6786
NY,2005,6818
NY,2006,6329
NY,2007,6561
NY,2008,6919
NY,2009,6740
NY,2010,6847
NY,2011,6963
NY,2012,7034
NY,2013,7110
OH,1999,5858
OH,2000,5983
OH,2001,5881
OH,2002,6063
OH,2003,5927
OH,2004,5896
OH,2005,6580
OH,2006,6054
OH,2007,6454
OH,2008,6928
OH,2009,6642
OH,2010,6717
OH,2011,6996
OH,2012,7070
OH,2013,7007
OK,1999,1751
OK,2000,1980
OK,2001,1922
OK,2002,1988
OK,2003,2160
OK,2004,1985
OK,2005,2368
OK,2006,2192
OK,2007,2386
OK,2008,2694
OK,2009,2595
OK,2010,2720
OK,2011,2637
OK,2012,2585
OK,2013,2680
OR,1999,1765
OR,2000,1677
OR,2001,1726
OR,2002,1845
OR,2003,1819
OR,2004,1778
OR,2005,1837
OR,2006,1828
OR,2007,1892
OR,2008,1951
OR,2009,1943
OR,2010,1971
OR,2011,2023
OR,2012,1915
OR,2013,2029
PA,1999,6141
PA,2000,6079
PA,2001,5845
PA,2002,6017
PA,2003,6046
PA,2004,5978
PA,2005,6149
PA,2006,5621
PA,2007,6077
PA,2008,6767
PA,2009,6432
PA,2010,6202
PA,2011,6627
PA,2012,6550
PA,2013,6716
RI,1999,495
RI,2000,500
RI,2001,511
RI,2002,521
RI,2003,495
RI,2004,463
RI,2005,523
RI,2006,485
RI,2007,421
RI,2008,478
RI,2009,511
RI,2010,507
RI,2011,526
RI,2012,504
RI,2013,476
SC,1999,1752
SC,2000,1730
SC,2001,1731
SC,2002,1889
SC,2003,1913
SC,2004,1792
SC,2005,1977
SC,2006,1935
SC,2007,2036
SC,2008,2266
SC,2009,2317
SC,2010,2264
SC,2011,2402
SC,2012,2467
SC,2013,2756
SD,1999,335
SD,2000,383
SD,2001,362
SD,2002,383
SD,2003,379
SD,2004,391
SD,2005,440
SD,2006,376
SD,2007,457
SD,2008,491
SD,2009,440
SD,2010,451
SD,2011,486
SD,2012,481
SD,2013,416
TN,1999,2748
TN,2000,2887
TN,2001,2941
TN,2002,3011
TN,2003,3067
TN,2004,2987
TN,2005,3185
TN,2006,2980
TN,2007,3167
TN,2008,3545
TN,2009,3503
TN,2010,3551
TN,2011,3658
TN,2012,3695
TN,2013,3904
TX,1999,7518
TX,2000,7286
TX,2001,7739
TX,2002,7720
TX,2003,7567
TX,2004,7402
TX,2005,7988
