state,year,PM25
KY,2002,119.0
KY,2003,115.08
KY,2004,175.70967741935485
KY,2005,129.74358974358975
KY,2006,136.0
KY,2007,100.6891891891892
KY,2008,122.24137931034483
KY,2009,89.10714285714286
KY,2010,102.11111111111111
KY,2011,130.33333333333334
KY,2012,127.11538461538461
KY,2013,147.96
LA,1999,112.4090909090909
LA,2000,130.76
LA,2001,126.88461538461539
LA,2002,132.46153846153845
LA,2003,127.29629629629629
LA,2004,133.76
LA,2005,54.70422535211268
LA,2006,83.0754716981132
LA,2007,84.03125
LA,2008,126.3
LA,2009,144.76190476190476
LA,2010,134.55
LA,2011,144.05
LA,2012,147.31578947368422
LA,2013,150.52631578947367
MA,1999,103.54166666666667
MA,2000,101.85185185185185
MA,2001,104.96153846153847
MA,2002,129.01351351351352
MA,2003,133.68421052631578
MA,2004,151.83333333333334
MA,2005,115.63636363636364
MA,2006,119.5909090909091
MA,2007,134.15
MA,2008,135.45
MA,2009,132.95
MA,2010,132.95
MA,2011,140.42105263157896
MA,2012,137.89473684210526
MA,2013,129.9
MD,1999,30.166666666666668
MD,2000,110.66666666666667
MD,2001,132.45454545454547
MD,2002,129.28813559322035
MD,2003,133.28571428571428
MD,2004,129.9090909090909
MD,2005,133.95
MD,2006,148.8125
MD,2007,144.52941176470588
MD,2008,145.96153846153845
MD,2009,198.65
MD,2010,166.91666666666666
MD,2011,201.03846153846155
MD,2012,211.2
MD,2013,210.2
MI,1999,105.46428571428571
MI,2000,127.12903225806451
MI,2001,124.2
MI,2002,124.38235294117646
MI,2003,127.93939393939394
MI,2004,125.68571428571428
MI,2005,121.97222222222223
MI,2006,95.6470588235294
MI,2007,121.78787878787878
MI,2008,128.44117647058823
MI,2009,113.6
MI,2010,114.4054054054054
MI,2011,129.1764705882353
MI,2012,131.8
MI,2013,119.86111111111111
MN,1999,33.833333333333336
MN,2000,63.40625
MN,2001,93.10714285714286
MN,2002,109.6
MN,2003,90.77777777777777
MN,2004,87.84
MN,2005,91.5
MN,2006,91.54166666666667
MN,2007,91.68181818181819
MN,2008,86.86363636363636
MN,2009,86.95238095238095
MN,2010,91.4375
MN,2011,154.5
MN,2012,186.76
MN,2013,235.80645161290323
MO,1999,149.78947368421052
MO,2000,179.33333333333334
MO,2001,170.17391304347825
MO,2002,178.52
MO,2003,162.1851851851852
MO,2004,154.96
MO,2005,172.04761904761904
MO,2006,134.5
MO,2007,207.0
MO,2008,152.33333333333334
MO,2009,122.34615384615384
MO,2010,250.35294117647058
MO,2011,209.61904761904762
MO,2012,229.85
MO,2013,291.05263157894734
MS,1999,91.9375
MS,2000,114.23529411764706
MS,2001,117.05882352941177
MS,2002,114.88235294117646
MS,2003,104.0
MS,2004,113.17647058823529
MS,2005,83.03448275862068
MS,2006,69.04166666666667
MS,2007,114.75
MS,2008,115.58333333333333
MS,2009,117.6923076923077
MS,2010,115.3076923076923
MS,2011,118.71428571428571
MS,2012,182.0
MT,1999,87.11111111111111
MT,2000,104.55555555555556
MT,2001,87.3157894736842
MT,2002,90.38095238095238
MT,2003,77.96153846153847
MT,2004,95.91666666666667
MT,2005,91.4
MT,2006,100.86046511627907
MT,2007,97.71052631578948
MT,2008,104.625
MT,2009,150.828125
MT,2010,214.77551020408163
MT,2011,231.6078431372549
MT,2012,277.69444444444446
MT,2013,297.1764705882353
NC,1999,115.0
NC,2000,134.84615384615384
NC,2001,114.54545454545455
NC,2002,129.55102040816325
NC,2003,130.0
NC,2004,148.76470588235293
NC,2005,146.30357142857142
NC,2006,143.69642857142858
NC,2007,144.30588235294118
NC,2008,131.65714285714284
NC,2009,130.5
NC,2010,144.4318181818182
NC,2011,140.37777777777777
NC,2012,121.72916666666667
NC,2013,140.05882352941177
ND,1999,65.28571428571429
ND,2000,75.25
ND,2001,74.75
ND,2002,72.22222222222223
ND,2003,69.55555555555556
ND,2004,71.625
ND,2005,73.375
ND,2006,77.33333333333333
ND,2007,79.8
ND,2008,83.4
ND,2009,126.66666666666667
ND,2010,147.6
ND,2011,185.58333333333334
ND,2012,240.0
ND,2013,247.0
NE,1999,56.705882352941174
NE,2000,105.41176470588235
NE,2001,110.82352941176471
NE,2002,118.58823529411765
NE,2003,118.92857142857143
NE,2004,113.8
NE,2005,117.0
NE,2006,119.1
NE,2007,115.88888888888889
NE,2008,117.11111111111111
NE,2009,95.45454545454545
NE,2010,146.21428571428572
NE,2011,185.54545454545453
NE,2012,149.77777777777777
NE,2013,150.11111111111111
NH,1999,63.7
NH,2000,52.09090909090909
NH,2001,54.5
NH,2002,78.0
NH,2003,73.14285714285714
NH,2004,84.83333333333333
NH,2005,85.25
NH,2006,84.4
NH,2007,78.88888888888889
NH,2008,75.72727272727273
NH,2009,152.125
NH,2010,182.63636363636363
NH,2011,147.28571428571428
NH,2012,156.35714285714286
NH,2013,141.94117647058823
NJ,1999,75.86363636363636
NJ,2000,106.04761904761905
NJ,2001,89.16666666666667
NJ,2002,115.3529411764706
NJ,2003,102.26086956521739
